Year,School Name,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2003,Tignish Elementary ,,44,37,46,35,51,55,,,,,,
2003,Tracadie Cross Consolidated ,,5,16,18,13,18,18,10,7,,,,
2003,Vernon River Consolidated ,,16,23,21,25,25,39,20,25,37,,,
2003,West Kent Elementary ,,24,31,12,22,18,28,,,,,,
2003,West Royalty Elementary ,,70,56,73,77,77,78,,,,,,
2003,Westisle Composite High ,,,,,,,,,,,267,249,221
2003,Westwood Primary ,,129,133,132,,,,,,,,,
2003,École Évangéline,,27,21,29,28,13,26,34,27,37,39,32,35
2003,École François-Buote,,22,19,23,11,19,14,13,18,17,19,13,17
2003,École St-Augustin,,9,3,4,6,1,1,,,,,,
2003,École-sur-Mer,,8,11,7,5,2,3,,,,,,
2003,Centre scolaire cummunautaire française de Prince-Ouest,,7,8,5,7,1,4,4,4,,,,
2003,École la Belle Cloche,,6,2,5,,,,,,,,,
2003,Immanuel Christian ,,6,3,4,3,3,4,2,5,2,,,
2003,Full Circle Co-operative  ,,,,,,1,1,2,2,1,1,1,2
2003,Fair Isle Adventist,,,1,,1,,1,1,,,,,
2003,Grace Christian,,12,12,11,16,11,14,8,14,10,14,4,5
2004,Alberton Elementary ,,34,41,37,44,29,33,,,,,,
2004,Alternative Education Class,,,,,,,,4,11,4,1,,
2004,Amherst Cove Consolidated,,19,17,25,26,21,27,22,26,,,,
2004,Athena Consolidated,,23,36,38,55,46,43,58,54,50,,,
2004,Belfast Consolidated ,,18,17,21,21,29,31,35,32,34,,,
2004,Birchwood Intermediate,,,,,,,,147,131,165,,,
2004,Bloomfield Elementary ,,21,29,41,31,35,40,,,,,,
2004,Bluefield High,,,,,,,,,,,288,280,263
2004,Cardigan Consolidated,,13,17,21,14,28,25,22,28,,,,
2004,Central Queens Elementary,,30,34,32,44,38,41,,,,,,
2004,Charlottetown Rural High,,,,,,,,,,,357,352,292
2004,Colonel Gray High,,,,,,,,,,,354,314,263
2004,Donagh Regional ,,16,16,21,20,22,19,7,13,17,,,
2004,Dundas Consolidated ,,8,12,8,13,10,10,6,10,,,,
2004,East Wiltshire Intermediate,,,,,,,,184,199,223,,,
2004,Eastern Kings Consolidated ,,11,5,17,5,12,7,11,11,,,,
2004,Eliot River Elementary,,,,,130,138,155,   ,,,,,
2004,Ellerslie Elementary ,,36,19,24,33,36,35,,,,,,
2004,Elm Street Elementary,,56,58,67,107,90,90,,,,,,
2004,Englewood ,,20,24,19,31,19,28,27,35,24,,,
2004,Fortune Consolidated ,,18,13,23,26,,,,,,,,
2004,Georgetown Elementary ,,13,9,13,8,12,12,8,14,,,,
2004,Glen Stewart Elementary,,87,118,92,121,92,109,,,,,,
2004,Grand Tracadie Elementary ,,3,5,5,9,9,10,  ,,,,,
2004,Greenfield Elementary,,87,91,77,46,50,45,,,,,,
2004,Gulf Shore Consolidated ,,14,29,33,26,29,41,43,37,45,,,
2004,Hernewood Intermediate ,,,,,,,,103,133,145,,,
2004,Kensington Intermediate/Senior High ,,,,,,,,66,70,93,87,66,77
2004,Kinkora Regional High,,,,,,,,,,52,47,43,50
2004,L. M. Montgomery,,41,43,46,65,54,71,   ,,,,,
2004,M.E. Callaghan Intermediate ,,,,,,,,126,110,108,,,
2004,Miscouche Consolidated,,24,29,37,24,28,32,26,30,23,,,
2004,Montague Consolidated ,,55,85,66,74,73,75,,,,,,
2004,Montague Intermediate ,,,,,,,,72,79,193,,,
2004,Montague Regional High ,,,,,,,,,,,222,219,279
2004,Morell Consolidated ,,13,19,24,25,25,37,23,35,,,,
2004,Morell Regional High ,,,,,,,,,,68,99,90,86
2004,Mt. Stewart Consolidated ,,5,10,8,12,15,11,10,9,,,,
2004,O'Leary Elementary ,,36,36,33,36,30,33,,,,,,
2004,Parkdale Elementary ,,14,18,25,20,19,26,  ,,,,,
